#show log messages | last 200 | no-more

Nov  2 14:30:00 vMX-NAPALM newsyslog[12191]: logfile turned over due to size>1024K
Nov  2 14:30:32  vMX-NAPALM sshd[12198]: Accepted password for napalm from 192.168.223.1 port 59401 ssh2
Nov  2 14:30:32  vMX-NAPALM sshd[12198]: subsystem request for netconf by user napalm
Nov  2 14:30:32  vMX-NAPALM sshd[12198]: subsystem request for netconf failed, subsystem not found
Nov  2 14:30:33  vMX-NAPALM file[12200]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 14:30:49  vMX-NAPALM sshd[12206]: Accepted password for napalm from 192.168.223.1 port 59406 ssh2
Nov  2 14:30:49  vMX-NAPALM sshd[12206]: subsystem request for netconf by user napalm
Nov  2 14:30:49  vMX-NAPALM sshd[12206]: subsystem request for netconf failed, subsystem not found
Nov  2 14:30:50  vMX-NAPALM file[12208]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 14:31:18  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 14:31:40  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:31:40  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:34:08  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:34:08  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:36:13  vMX-NAPALM sshd[12435]: Accepted password for napalm from 192.168.223.1 port 59501 ssh2
Nov  2 14:36:13  vMX-NAPALM sshd[12435]: subsystem request for netconf by user napalm
Nov  2 14:36:13  vMX-NAPALM sshd[12435]: subsystem request for netconf failed, subsystem not found
Nov  2 14:36:14  vMX-NAPALM file[12437]: UI_DBASE_OPEN_ALREADY: Database open failed for file '/var/run/db/juniper.db': already open
Nov  2 14:36:14  vMX-NAPALM file[12437]: UI_DBASE_RECREATE: User 'napalm' attempting database re-creation
