#show processes memory platform sorted
No time source, *11:55:30.982 UTC Wed Nov 7 2018
System memory: 2505972K total, 2048212K used, 457760K free
Lowest: 38100K
   Pid    Text      Data   Stack   Dynamic       RSS     Total              Name  
--------------------------------------------------------------------------------
 15083  348566    751812     220        56    752260   2411276   linux_iosd-imag  
 20048   11406    144388     200     19296    144392   1962548     fman_fp_image  
 18681      77    122912     124     18108    122916   1486196        cpp_cp_svr  
 13901    6413     79808     184      1712     79808   1059600           fman_rp  
 19751      62     67924      84      1932     67928    905696        cpp_sp_svr  
 19410     323     48900      84      3036     48904    878356   cpp_ha_top_leve  
 19089     143     63848      84      2480     63856    861552        cpp_driver  
 20550   16281    449684      84       820    662536    751508     qfp-ucode-csr  
 18217     287     21132      84      3272     21144    424584           cman_fp  
 18125     749     19008      84     12036     19008    192876              vman  
 16782     385     93696     100     83728     93704    102252             smand  
 14173     303      7948      84      1068      7976     41400              hman  
 14427     892      3116      84       820      3116     37056          libvirtd  
 13223    1053     14772      84      3552     14788     36736             cmand  
  7336     101      1308     416       132      1308     21396         automount  
 13573      65      6716      84       680      6716     20588               emd  
 16264      29      6324      84       676      6324     17264               psd  
 15376     103      6056      84      1272      6064     16104              lman  
 15948      33      5568      84      1516      5576     14312             plogd  
 20349      33      5312      84      1296      5320     14092             plogd  
 15637     635      3812      84      2628      3812      5072       periodic.sh  
  7176       6      1700      84       132      1700      4964         bhytoolsd  
 20322       4      1676      84       132      1676      4884             rotee  
 19994       4      1676      84       132      1676      4884             rotee  
 19692       4      1676      84       132      1676      4884             rotee  
 19389       4      1676      84       132      1676      4884             rotee  
 19051       4      1676      84       132      1676      4884             rotee  
 18648       4      1676      84       132      1676      4884             rotee  
 18139       4      1676      84       132      1676      4884             rotee  
 18113       4      1672      84       132      1672      4884             rotee  
 17734       4      1676      84       132      1676      4884             rotee  
 17565       4      1676      84       132      1676      4884             rotee  
 17233       4      1676      84       132      1676      4884             rotee  
 16783       4      1676      84       132      1676      4884             rotee  
 16452       4      1680      84       132      1680      4884             rotee  
 15911       4      1676      84       132      1676      4884             rotee  
 15894       4      1672      84       132      1672      4884             rotee  
 15593       4      1676      84       132      1676      4884             rotee  
 15374       4      1676      84       132      1676      4884             rotee  
 15142       4      1676      84       132      1676      4884             rotee  
 14612       4      1672      84       132      1672      4884             rotee  
 13976       4      1676      84       132      1676      4884             rotee  
 13582       4      1676      84       132      1676      4884             rotee  
 13175       4      1680      84       132      1680      4884             rotee  
 13159       4      1672      84       132      1672      4884             rotee  
 12884       4      1676      84       132      1676      4884             rotee  
 12672       4      1676      84       132      1676      4884             rotee  
 16292       4      1668      84       132      1668      4880             rotee  
 14928       4      1668      84       132      1668      4880             rotee  
 14898       4      1668      84       132      1668      4880             rotee  
 14890       4      1668      84       132      1668      4880             rotee  
 14846       4      1668      84       132      1668      4880             rotee  
 12365       4      1672      84       132      1672      4880             rotee  
 12277       4      1672      84       132      1672      4880             rotee  
  8547       4      1672      84       132      1672      4880             rotee  
  8486       4      1672      84       132      1672      4880             rotee  
  7180     635      3352      84      2108      3352      4552       droputil.sh  
  7175     635      3344      84      2096      3344      4540      reflector.sh  
 12291     635      3136      84      1908      3136      4352            pvp.sh  
 15990     635      3072      84      1848      3072      4292            pvp.sh  
 15670     635      3036      84      1840      3036      4284           pman.sh  
 17100     635      3032      84      1836      3032      4280           pman.sh  
 16486     635      3032      84      1836      3032      4280           pman.sh  
 16164     635      3032      84      1836      3032      4280           pman.sh  
 15407     635      3032      84      1836      3032      4280           pman.sh  
 15198     635      3032      84      1836      3032      4280           pman.sh  
 14991     635      3028      84      1836      3028      4280           pman.sh  
 14244     635      3032      84      1836      3032      4280           pman.sh  
 13782     635      3032      84      1836      3032      4280           pman.sh  
 13300     635      3032      84      1836      3032      4280           pman.sh  
 12933     635      3032      84      1836      3032      4280           pman.sh  
 12700     635      3032      84      1836      3032      4280           pman.sh  
 12549     635      3028      84      1836      3028      4280           pman.sh  
 20062     635      2984      84      1788      2984      4232           pman.sh  
 19743     635      2980      84      1788      2980      4232           pman.sh  
 19441     635      2984      84      1788      2984      4232           pman.sh  
 19108     635      2984      84      1788      2984      4232           pman.sh  
 18737     635      2984      84      1788      2984      4232           pman.sh  
 18218     635      2980      84      1788      2980      4232           pman.sh  
 17776     635      2980      84      1788      2980      4232           pman.sh  
 17295     635      2984      84      1788      2984      4232           pman.sh  
 16928     635      2984      84      1788      2984      4232           pman.sh  
  7159     191      1092      84       132      1092      4060              sshd  
 14398     635      2668      84      1476      2668      3920        chasync.sh  
 12212     635      2604      84      1424      2604      3868           psvp.sh  
 14399     635      2348      84      1168      2348      3612          iptbl.sh  
 12916     635      2304      84      1112      2304      3556   btrace_rotate.s  
 17735     635      2272      84      1084      2272      3528   btrace_rotate.s  
 14410     635      1928      84       780      1928      3224          uuidd.sh  
 14379     635      1720      84       544      1720      2988   rollback_timer.  
 14386     635      1688      84       508      1688      2952            oom.sh  
 17109     635      1248      84        96      1248      2540   sort_files_by_i  
 14370     635      1188      84        56      1188      2500      mcp_chvrf.sh  
 14367     635      1196      84        56      1196      2500      mcp_chvrf.sh  
  7166     635      1204      84        56      1204      2500        auxinit.sh  
 14408     635      1140      84        44      1140      2488       libvirtd.sh  
 14384     147       808      84       132       808      2136            xinetd  
 14382     147       804      84       132       804      2136            xinetd  
  9864     147       708      84       132       708      2136            xinetd  
  9862     147       752      84       132       752      2136            xinetd  
 24437      11       508      84       132       508      1884             sleep  
 24317      11       504      84       132       504      1884             sleep  
 24315      11       508      84       132       508      1884             sleep  
 17554      11       512      84       132       512      1884             sleep  
 14933      11       504      84       132       504      1884             sleep  
 14377      37       540      84       132       540      1824              sntp  
     1      24       532      84       132       532      1820              init  
  3220       9       600      84       132       600      1768           portmap  
  3218       9       620      84       132       624      1768           portmap  
  7399      19       300      84       132       300      1748        rpc.mountd  
  5101      17       472      84       136       472      1732             udevd  
 16722      14       504      84       132       504      1720       inotifywait  
 12480      14       504      84       132       504      1720       inotifywait  
 12286      14       508      84       132       508      1720       inotifywait  
