#show processes cpu platform sorted
No time source, *11:47:24.513 UTC Wed Nov 7 2018
CPU utilization for five seconds:  1%, one minute:  0%, five minutes:  1%
Core 0: CPU utilization for five seconds:  1%, one minute:  0%, five minutes:  1%
Core 1: CPU utilization for five seconds:  0%, one minute:  0%, five minutes:  0%
   Pid    PPid    5Sec    1Min    5Min  Status        Size  Name                  
--------------------------------------------------------------------------------
 20550   20062      2%      2%      2%  S        769544192  qfp-ucode-csr         
 15083   14244      1%      2%      2%  S       2469142528  linux_iosd-imag       
 23838   14398      0%      0%      0%  S          1929216  sleep                 
 23786   12916      0%      0%      0%  S          1757184  inotifywait           
 23715   17735      0%      0%      0%  S          1757184  inotifywait           
 23659   15637      0%      0%      0%  S          1929216  sleep                 
 23537   14410      0%      0%      0%  S          1929216  sleep                 
 20349   19743      0%      0%      0%  S         14430208  plogd                 
 20322       1      0%      0%      0%  S          5001216  rotee                 
 20062   15990      0%      0%      0%  S          4333568  pman.sh               
 20048   19441      0%      0%      0%  S       2009645056  fman_fp_image         
 19994       1      0%      0%      0%  S          5001216  rotee                 
 19751   19108      0%      0%      0%  S        927428608  cpp_sp_svr            
 19743   15990      0%      0%      0%  S          4333568  pman.sh               
 19692       1      0%      0%      0%  S          5001216  rotee                 
 19441   15990      0%      0%      0%  S          4333568  pman.sh               
 19410   18737      0%      0%      0%  S        899432448  cpp_ha_top_leve       
 19389       1      0%      0%      0%  S          5001216  rotee                 
 19108   15990      0%      0%      0%  S          4333568  pman.sh               
 19089   18218      0%      0%      0%  S        882225152  cpp_driver            
 19051       1      0%      0%      0%  S          5001216  rotee                 
 18737   15990      0%      0%      0%  S          4333568  pman.sh               
 18681   17776      0%      0%      0%  S       1521860608  cpp_cp_svr            
 18648       1      0%      0%      0%  S          5001216  rotee                 
 18218   15990      0%      0%      0%  S          4333568  pman.sh               
 18217   17295      0%      0%      0%  S        434774016  cman_fp               
 18139       1      0%      0%      0%  S          5001216  rotee                 
 18125   17100      0%      0%      0%  S        197500928  vman                  
 18113       1      0%      0%      0%  S          5001216  rotee                 
 17776   15990      0%      0%      0%  S          4333568  pman.sh               
 17735   16928      0%      0%      0%  S          3612672  btrace_rotate.s       
