#show system processes extensive | no-more

last pid:  3786;  load averages:  0.03,  0.09,  0.12  up 0+00:29:40    11:47:49
502 processes: 211 running, 271 sleeping, 1 zombie, 19 waiting

Mem: 397M Active, 228M Inact, 78M Wired, 19M Cache, 69M Buf, 16M Free
Swap: 6756M Total, 15M Used, 6741M Free


  PID USERNAME  THR PRI NICE   SIZE    RES STATE    TIME   WCPU COMMAND
   10 root        1 171   52     0K    12K RUN     20:52 78.03% idle
 3763 root        1  97    0 41296K 30804K select   0:00  9.74% mgd
 2573 root      323  96    0   573M 37972K ucondt   3:24  2.98% riot
 2885 root        1  97    0   627M   126M RUN      1:44  2.54% vmxt
 3761 root        1  96    0  6956K  2960K select   0:00  1.03% sshd
   22 root        1 -68 -187     0K    12K WAIT     0:01  0.93% irq11: virtio_pci1*
 2897 root        1  96    0  2724K  1144K select   0:03  0.10% rpio_tunnel
   11 root        1 -20 -139     0K    12K WAIT     0:48  0.00% swi7: clock sio
 2520 root        1  96    0 40904K  8492K select   0:10  0.00% mib2d
  212 root        1  -8    0     0K    12K mdwait   0:10  0.00% md7
 2522 root        1  96    0 21564K  8356K select   0:10  0.00% l2ald
 2555 root        3  20    0 10240K  3780K sigwai   0:09  0.00% jddosd
 2556 root        1  96    0 11972K  2908K select   0:07  0.00% shm-rtsdbd
    4 root        1  -8    0     0K    12K -        0:05  0.00% g_down
 2531 root        1  96    0 20840K  7408K select   0:05  0.00% pfed
 2512 root        1  96    0  1844K  1032K select   0:04  0.00% bslockd
    2 root        1  -8    0     0K    12K -        0:04  0.00% g_event
    3 root        1  -8    0     0K    12K -        0:04  0.00% g_up
   14 root        1 -16    0     0K    12K -        0:04  0.00% yarrow
 2533 root        1  96    0 23436K  7780K select   0:04  0.00% cosd
 2560 root        1  96    0    98M  3636K select   0:04  0.00% alarm-mgmtd
 2521 root        1   4    0 67588K 21412K kqread   0:03  0.00% rpd
 2557 root        1  96    0 13708K  4904K select   0:03  0.00% transportd
  156 root        1  -8    0     0K    12K mdwait   0:03  0.00% md4
 2545 root        1   4    0 16560K  8764K kqread   0:02  0.00% l2cpd
 2516 root        1  96    0  8028K  2840K select   0:02  0.00% alarmd
 2538 root        1  96    0  5036K  2660K select   0:02  0.00% irsd
 2534 root        1  96    0  8952K  6140K select   0:02  0.00% ppmd
 2548 root        1  96    0 20040K  7956K select   0:01  0.00% cfmd
 2519 root        1  96    0 21072K 10668K select   0:01  0.00% snmpd
 2514 root        1  96    0 50088K  8988K select   0:01  0.00% dcd
 2515 root        1  96    0   117M 11504K select   0:01  0.00% chassisd
 2552 root        1  96    0 19536K  8152K select   0:01  0.00% smid
 2558 root        1  96    0  8920K  3948K select   0:01  0.00% pkid
   27 root        1  96    0     0K    12K RUN      0:01  0.00% em5 taskq
  897 root        1  -8    0     0K    12K mdwait   0:01  0.00% md43
 1948 root        1   8    0   840K   288K nanslp   0:01  0.00% gstatd
 2559 root        1  96    0  7720K  2816K select   0:01  0.00% license-check
 1978 root        1  96    0  5268K  2744K select   0:01  0.00% eventd
  176 root        1  -8    0     0K    12K mdwait   0:01  0.00% md5
   62 root        1  -8    0     0K    12K mdwait   0:01  0.00% md0
 2547 root        1  96    0  5188K  2724K select   0:00  0.00% lfmd
   26 root        1 -16    0     0K    12K -        0:00  0.00% em4 taskq
   38 root        1 171   52     0K    12K RUN      0:00  0.00% pagezero
   42 root        1  -4    0     0K    12K vlruwt   0:00  0.00% vnlru
   39 root        1 -16    0     0K    12K psleep   0:00  0.00% bufdaemon
 2563 root        1  96    0 42916K  5760K select   0:00  0.00% idpd
   19 root        1 -64 -183     0K    12K WAIT     0:00  0.00% irq14: ata0
   55 root        1 -16    0     0K    12K .        0:00  0.00% ddostasks
